"URL","author","journal","title","volume"
"Papers/2011/JPhysChemC_115_3703-3708_2011.pdf","Bingjun Xu, Jan Haubrich, Thomas A. Baker, Efthimios Kaxiras, and Cynthia M. Friend","J. Phys. Chem. C","""Theoretical Study of O-Assisted Selective Coupling of Methanol on
Au(111)""","115"
"Papers/2011/JChemPhys_134_194706_2011.pdf","Jun Ren, Sheng Meng, Yi-Lin Wang, Xu-Cun Ma, Qi-Kun Xue, Efthimios Kaxiras","J. Chem. Phys.","""Properties of copper (fluoro-)phthalocyanine layers deposited
on epitaxial graphene""","134"
"Papers/2011/Chemistry_17_4496-4506_2011.pdf","Jan Haubrich, Efthimios Kaxiras, and Cynthia M. Friend","Chem. Eur. J.","""The Role of Surface and Subsurface Point Defects for Chemical Model
Studies on TiO2: A First-Principles Theoretical Study of Formaldehyde
Bonding on Rutile TiO2(110)""","17"
"Papers/2011/CatalSciTechnol_1_1166_2011.pdf","Thomas A. Baker, Bingjun Xu, Stephen C. Jensen, Cynthia M. Friend and Efthimios Kaxiras","Catal. Sci. Technol.","""Role of defects in propene adsorption and reaction on a partially
O-covered Au(111) surface""","1"
"Papers/2011/ACSNano_5_1395-1400_2011.pdf","Youdong Mao, Wei L. Wang, Dongguang Wei, Efthimios Kaxiras, and Joseph G. Sodroski","ACSNano.","""Graphene Structures at an Extreme
Degree of Buckling""","5"
"Papers/ActaMater_59_44-52_2011.pdf","H. Li, J.M. Knaup, E. Kaxiras and J.J. Vlassak","Acta Mater.","""Stiffening of organosilicate glasses by organic cross-linking""","59"
"Papers/NewJPhys_12_125012_2010.pdf","W.L. Wang and E. Kaxiras","New J. Phys.","""Graphene hydrate: theoretical prediction of a new insulating 
form of graphene""","12"
"Papers/PhysRevB_82_201411_2010.pdf","L.A. Agapito, N. Kioussis and E. Kaxiras","Phys. Rev. B","""Electric-field control of magnetism in graphene quantum dots:
 Ab initio calculations""","82"
"Papers/IEEE-SC10_2010.pdf","A. Peters, S. Melchionna, E. Kaxiras, J. Latt, J. Sircar, S. Succi","2010 ACM/IEEE International Conference for High Performance","""Multiscale simulation of cardiovascular flows on the IBM Bluegene/P: 
full heart-circulation system at near red-blood cell resolution""",""
"Papers/MolPhys_108_1829-1844_2010.pdf","J. Ren, E. Kaxiras and S. Meng","Molec. Phys.","""Optical properties of clusters and molecules from real-time time-dependent
density functional theory using a self-consistent field""","108"
"Papers/TopicsCatal_53_365-377_2010.pdf","T.A. Baker, E. Kaxiras and C.M. Friend","Top. Catal.","""Insights from Theory on the Relationship Between Surface Reactivity
and Gold Atom Release""","53"
"Papers/PhysRevLett_104_155502_2010.pdf","H.P. Chen, R.K. Kalia, E. Kaxiras, G. Lu, A. Nakano, K. Nomura","Phys. Rev. Lett.","""Embrittlement of Metal by Solute Segregation-Induced Amorphization""","104"
"Papers/NanoLett_10_1238-1247_2010.pdf","S. Meng and E. Kaxiras","NanoLett.","""Electron and Hole Dynamics in Dye-Sensitized Solar Cells:
Influencing Factors and Systematic Trends""","10"
"Papers/PhysRevB_81_085406_2010.pdf","C.L. Chang, S.K.R.S. Sankaranarayanan, D. Ruzmetov, M.H. Engelhard, E. Kaxiras and S. Ramanathan","Phys. Rev. B","""Compositional tuning of ultrathin surface oxides on metal and alloy
substrates using photons: Dynamic simulations and experiments""","81"
"Papers/JChemTheComp_6_279-287_2010.pdf","T.A. Baker, C.M. Friend and E. Kaxiras","J. Chem. Theory Comput.","""Local Bonding Effects in the Oxidation of CO on Oxygen-Covered
Au(111) from Ab Initio Molecular Dynamics Simulations""","6"
"Papers/CompPhysComm_181_462-472_2010.pdf","S. Melchionna, M. Bernaschi, S. Succi, E. Kaxiras, F.J. Rybicki, D. Mitsouras, A.U. Coskun and C.L. Feldman","Comp. Phys. Comm.","""Hydrokinetic approach to large-scale cardiovascular blood flow""","181"
"Papers/ConcComp_22_1-14_2010.pdf","M. Bernaschi, M. Fatica, S. Melchionna, S. Succi and E. Kaxiras","Concurrency Computat.: Pract. Exper.","""A flexible high-performance Lattice Boltzmann GPU code for the
simulations of fluid flows in complex geometries""","22"
"Papers/SolStComm_150_62-65_2010.pdf","E. Manousakis, J. Ren, S. Meng and E. Kaxiras","Sol. St. Comm.","""Is the nature of magnetic order in copper-oxides and iron-pnictides 
different?""","150"
"Papers/PhysRevLett_103_186404_2009.pdf","A. Gali, E. Janzen, P. Deak, G. Kresse and E. Kaxiras","Phys. Rev. Lett.","""Theory of Spin-Conserving Excitation of the N-V Center in Diamond""","103"
"Papers/EnEnviSci_2_1196-1204_2009.pdf","S.K.R.S. Sankaranarayanan, E. Kaxiras and S. Ramanathan","Energy & Environmental Sci.","""Electric field tuning of oxygen stoichiometry at oxide surfaces:
molecular dynamics isimulations studies iof zirconia""","2"
"Papers/CompPhysComm_180_1495-1502_2009.pdf","M. Bernaschi, S. Melchionna, S. Succi, M. Fyta, E. Kaxiras","Comp. Phys. Comm.","""MUPHY: A parallel MUlti PHYsics/scale code for high performance 
bio-fluidic simulations""","180"
"Papers/JPhysChemC_113_16561-16564_2009.pdf","T.A. Baker, B.J. Xu, X.Y. Liu, E. Kaxiras and C.M. Friend","J. Phys. Chem. C","""Nature of Oxidation of the Au(111) Surface: Experiment and
Theoretical Investigation""","113"
"Papers/IntJCardImag_25_289-299_2009.pdf","F.J. Rybicki, S. Melchionna, D. Mitsouras, A.U. Coskun, A.G. Whitmore, E. Kaxiras, S. Succi, P.H. Stone and C.L. Feldman","Int. J. Cardiovasc. Imaging","""Prediction of coronary artery plaque progression and potential rupture
from 320-detector row prospectively ECG-gated single heart beat CT angiography: 
Lattice Boltzmann evaluation of endothelial shear stress""","25"
"Papers/PhysRevB_79_235202_2009.pdf","H. Chen, W.G. Zhu, E. Kaxiras, and Z.Y. Zhang","Phys. Rev. B","""Optimization of Mn doping in group-IV-based dilute magnetic semiconductors
by electronic codopants""","79"
"Papers/JStatMech_2009.pdf","M. Fyta, S. Melchionna, M. Bernaschi, E. Kaxiras and S. Succi","J. Stat. Mech: Th. and Exper.","""Numerical simulation of conformational variability in biopolymer translocation 
through wide nanopores""","06"
"Papers/PhysRevE_79_045701RC_2009.pdf","E.M. Kotsalis, J.H. Walther, E. Kaxiras and P. Koumoutsakos","Phys. Rev. E - Rap. Comm.","""Control algorithm for multiscale flow simulations of water""","79"
"Papers/JPhysChemB_113_6478_2009.pdf","C.E. Lekka, J. Ren, S. Meng and E. Kaxiras","J. Phys. Chem. B","""Structural, Electronic, and Optical Properties of Representative Cu-Flavonoid Complexes""","113"
"Papers/PhysRevLett_102_157201_2009.pdf","W.L. Wang, O.V. Yazyev, S. Meng and E. Kaxiras","Phys. Rev. Lett.","""Topological Frustration in Graphene Nanoflakes: Magnetic Order and Spin Logic Devices""","102"
"Papers/PhysRevLett_102_149703_2009.pdf","A. Gali and E. Kaxiras","Ab initio","""Comment on '","102"
"Papers/PhysRevE_79_030901RC_2009.pdf","S. Melchionna, M. Bernaschi, M. Fyta, E. Kaxiras and S. Succi","Phys. Rev. E - Rap. Comm.","""Quantized biopolymer translocation through nanopores: Departure from simple scaling""","79"
"Papers/PhysRevLett_102_095504_2009.pdf","S.K.R.S. Sankaranarayanan, E. Kaxiras, S. Ramanathan","Phys. Rev. Lett.","""Atomistic Simulation of Field Enhanced Oxidation of Al(1000) Beyond the Mott Potential""","102"
"Papers/JChemPhys_130_084701_2009.pdf","T.A. Baker, C.M. Friend and E. Kaxiras","J. Chem. Phys.","""Effects of chlorine and oxygen coverage on the structure of the Au(111) surface""","130"
"Papers/JPhysChemC_113_3232_2009.pdf","T.A. Baker, C.M. Friend and E. Kaxiras","J. Phys. Chem. C","""Atomic Oxygen Adsorption on Au(111) Surfaces with Defects""","113"
"Papers/SciModSim_15_59_2008.pdf","E. Kaxiras and S. Succi","Sci. Model. Simul.","""Multiscale simulations of complex systems: computation meets reality""","15"
"Papers/PhysRevB_78_205112_2008.pdf","E. Manousakis, J. Ren, S. Meng and E. Kaxiras","Phys. Rev. B","""Effective Hamiltonian for FeAs-based superconductors""","78"
