,dteday,hour,year,holiday,workingday,temp,atemp,hum,windspeed,casual,registered,counts,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,spring,summer,fall,Mon,Tue,Wed,Thu,Fri,Sat,Cloudy,Snow,Storm,month
5007,2011-08-01,13,0,0,1,0.9,0.8029999999999999,0.31,0.2985,38,112,150,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8
10123,2012-03-02,21,1,0,1,0.36,0.3636,0.87,0.0896,2,99,101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
16385,2012-11-20,11,1,0,1,0.42,0.4242,0.67,0.0896,45,160,205,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,11
7547,2011-11-16,2,0,0,1,0.46,0.4545,0.94,0.1045,4,6,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,11
4723,2011-07-20,17,0,0,1,0.84,0.8333,0.59,0.19399999999999998,50,405,455,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
4098,2011-06-24,16,0,0,1,0.8,0.6970000000000001,0.33,0.4179,80,247,327,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6
16003,2012-11-04,12,1,0,0,0.38,0.3939,0.46,0.2239,150,354,504,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11
7299,2011-11-05,18,0,0,0,0.36,0.3636,0.5,0.0896,52,185,237,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,11
8638,2011-12-31,17,0,0,0,0.42,0.4242,0.54,0.19399999999999998,28,101,129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12
2144,2011-04-04,5,0,0,1,0.4,0.4091,0.62,0.2537,0,7,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4
10992,2012-04-08,4,1,0,0,0.4,0.4091,0.4,0.0,0,7,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
8583,2011-12-29,10,0,0,1,0.22,0.2273,0.64,0.1642,13,97,110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,12
989,2011-02-13,21,0,0,0,0.4,0.4091,0.35,0.3582,6,45,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10680,2012-03-26,3,1,0,1,0.46,0.4545,0.82,0.19399999999999998,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
11375,2012-04-24,4,1,0,1,0.3,0.2879,0.7,0.19399999999999998,0,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4
14753,2012-09-11,22,1,0,1,0.56,0.5303,0.64,0.1045,27,189,216,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9
11175,2012-04-15,20,1,0,0,0.64,0.6212,0.5,0.2239,86,205,291,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
9355,2012-01-30,17,1,0,1,0.36,0.3485,0.21,0.19399999999999998,16,422,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
15665,2012-10-19,22,1,0,1,0.5,0.4848,0.77,0.0896,14,176,190,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10
13533,2012-07-23,2,1,0,1,0.66,0.5909,0.94,0.0896,3,14,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,7
1339,2011-03-01,2,0,0,1,0.24,0.2121,0.65,0.3881,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
9143,2012-01-21,21,1,0,0,0.18,0.1515,0.74,0.3284,5,64,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
14780,2012-09-13,1,1,0,1,0.54,0.5152,0.77,0.0896,6,22,28,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9
5693,2011-08-30,16,0,0,1,0.74,0.6515,0.37,0.1642,42,295,337,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8
992,2011-02-14,0,0,0,1,0.38,0.3939,0.37,0.3582,3,8,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
17209,2012-12-24,21,1,0,1,0.24,0.2576,0.93,0.0896,13,9,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,12
2287,2011-04-10,4,0,0,0,0.36,0.3636,0.93,0.1045,3,2,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4
1274,2011-02-26,6,0,0,0,0.22,0.2727,0.6,0.0,1,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
15944,2012-11-02,1,1,0,1,0.32,0.3182,0.66,0.1642,5,19,24,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,11
2786,2011-05-01,0,0,0,0,0.42,0.4242,0.67,0.0896,19,77,96,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
16983,2012-12-15,10,1,0,0,0.32,0.3182,0.61,0.1642,23,250,273,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,12
14393,2012-08-27,22,1,0,1,0.7,0.6667,0.84,0.19399999999999998,30,131,161,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8
3748,2011-06-10,2,0,0,1,0.68,0.6364,0.69,0.1642,6,7,13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6
10756,2012-03-29,7,1,0,1,0.46,0.4545,0.51,0.3582,14,353,367,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
13286,2012-07-12,19,1,0,1,0.74,0.6667,0.48,0.2239,97,532,629,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7
2723,2011-04-28,9,0,0,1,0.62,0.5606,0.88,0.3284,18,165,183,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4
1365,2011-03-02,4,0,0,1,0.2,0.2121,0.75,0.1343,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
7674,2011-11-21,9,0,0,1,0.48,0.4697,0.94,0.1045,15,222,237,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,11
8199,2011-12-13,7,0,0,1,0.16,0.1667,0.8,0.1642,2,221,223,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,12
4166,2011-06-27,12,0,0,1,0.72,0.6667,0.54,0.0,40,130,170,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,6
12375,2012-06-04,20,1,0,1,0.6,0.6212,0.4,0.3582,71,390,461,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6
10095,2012-03-01,17,1,0,1,0.56,0.5303,0.35,0.2985,49,551,600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
3871,2011-06-15,5,0,0,1,0.48,0.4697,0.67,0.2836,1,20,21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6
13471,2012-07-20,12,1,0,1,0.68,0.6364,0.83,0.1642,41,233,274,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,7
13774,2012-08-02,3,1,0,1,0.66,0.6061,0.83,0.0,0,6,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8
1525,2011-03-08,22,0,0,1,0.3,0.2879,0.49,0.2239,11,44,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
4073,2011-06-23,15,0,0,1,0.76,0.6970000000000001,0.52,0.3582,62,127,189,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,6
14100,2012-08-15,17,1,0,1,0.74,0.6818,0.55,0.2836,102,749,851,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8
16517,2012-11-25,23,1,0,0,0.22,0.2576,0.69,0.0896,1,40,41,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11
5206,2011-08-09,20,0,0,1,0.8,0.7273,0.43,0.19399999999999998,34,258,292,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8
4548,2011-07-13,10,0,0,1,0.82,0.7576,0.46,0.19399999999999998,33,80,113,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
8592,2011-12-29,19,0,0,1,0.3,0.3182,0.56,0.1045,11,124,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12
4499,2011-07-11,9,0,0,1,0.78,0.7424,0.59,0.2985,41,167,208,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
6019,2011-09-13,9,0,0,1,0.64,0.6061,0.69,0.0896,35,179,214,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9
2666,2011-04-26,0,0,0,1,0.62,0.6061,0.69,0.2836,10,17,27,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4
4236,2011-06-30,10,0,0,1,0.72,0.6515,0.42,0.19399999999999998,35,97,132,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6
13551,2012-07-23,20,1,0,1,0.76,0.7121,0.62,0.1642,56,347,403,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
14065,2012-08-14,6,1,0,1,0.64,0.5758,0.83,0.19399999999999998,1,63,64,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,8
8973,2012-01-14,18,1,0,0,0.22,0.2273,0.41,0.19399999999999998,21,122,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6914,2011-10-20,17,0,0,1,0.48,0.4697,0.48,0.3881,56,438,494,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,10
2878,2011-05-04,20,0,0,1,0.4,0.4091,0.62,0.3284,17,174,191,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5
38,2011-01-02,15,0,0,0,0.34,0.3333,0.81,0.1642,19,55,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
10316,2012-03-10,22,1,0,0,0.26,0.2576,0.44,0.1642,19,81,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
4905,2011-07-28,7,0,0,1,0.72,0.6818,0.7,0.1642,27,278,305,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7
13588,2012-07-25,9,1,0,1,0.72,0.6515,0.37,0.2985,65,277,342,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
9775,2012-02-17,6,1,0,1,0.28,0.2879,0.96,0.1343,1,70,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
8908,2012-01-12,1,1,0,1,0.36,0.3485,0.93,0.19399999999999998,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
13275,2012-07-12,8,1,0,1,0.68,0.6364,0.65,0.1343,49,653,702,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7
8297,2011-12-17,9,0,0,0,0.26,0.2424,0.56,0.2537,5,95,100,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,12
11414,2012-04-25,19,1,0,1,0.6,0.5909,0.2,0.19399999999999998,42,501,543,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4
12583,2012-06-13,12,1,0,1,0.68,0.6364,0.44,0.4179,93,241,334,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,6
15889,2012-10-30,18,1,0,1,0.3,0.303,0.87,0.1343,4,139,143,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,10
3039,2011-05-11,13,0,0,1,0.62,0.6212,0.5,0.0,36,157,193,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5
3973,2011-06-19,11,0,0,0,0.72,0.6667,0.58,0.0896,141,236,377,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6
11278,2012-04-20,3,1,0,1,0.44,0.4394,0.88,0.1045,1,9,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4
738,2011-02-03,3,0,0,1,0.18,0.1667,0.43,0.2537,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
6136,2011-09-18,6,0,0,0,0.44,0.4394,0.77,0.2537,2,10,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9
1178,2011-02-21,21,0,1,0,0.22,0.19699999999999998,0.75,0.4478,1,33,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
12709,2012-06-18,18,1,0,1,0.62,0.6061,0.69,0.1642,47,595,642,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6
15677,2012-10-20,10,1,0,0,0.52,0.5,0.52,0.1343,111,312,423,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10
1790,2011-03-20,7,0,0,0,0.24,0.2273,0.6,0.2239,5,9,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
14996,2012-09-22,1,1,0,0,0.58,0.5455,0.83,0.2985,18,106,124,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9
14440,2012-08-29,21,1,0,1,0.66,0.6212,0.54,0.1045,48,265,313,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8
4512,2011-07-11,22,0,0,1,0.72,0.6970000000000001,0.74,0.1343,20,70,90,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7
4047,2011-06-22,13,0,0,1,0.82,0.7879,0.56,0.2537,34,113,147,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6
361,2011-01-16,13,0,0,0,0.26,0.2273,0.35,0.2985,23,95,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9260,2012-01-26,18,1,0,1,0.42,0.4242,0.71,0.0,12,394,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1159,2011-02-21,2,0,1,0,0.34,0.303,0.42,0.3284,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
3781,2011-06-11,11,0,0,0,0.76,0.7121,0.62,0.1343,110,215,325,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6
8246,2011-12-15,6,0,0,1,0.32,0.3182,0.66,0.19399999999999998,2,90,92,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,12
4364,2011-07-05,18,0,0,1,0.8,0.7576,0.55,0.1642,70,426,496,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7
14900,2012-09-18,1,1,0,1,0.6,0.5152,0.94,0.19399999999999998,0,5,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,9
16081,2012-11-07,18,1,0,1,0.32,0.2879,0.53,0.3582,17,448,465,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,11
6152,2011-09-18,22,0,0,0,0.54,0.5152,0.68,0.0896,9,75,84,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9
1586,2011-03-11,14,0,0,1,0.36,0.3333,0.5,0.3582,25,64,89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3
13905,2012-08-07,14,1,0,1,0.82,0.7576,0.46,0.0,76,185,261,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,8
9729,2012-02-15,8,1,0,1,0.32,0.2879,0.61,0.3582,7,508,515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
11558,2012-05-01,19,1,0,1,0.7,0.6515,0.54,0.1343,58,429,487,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5
6151,2011-09-18,21,0,0,0,0.54,0.5152,0.68,0.0896,37,110,147,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9
14404,2012-08-28,9,1,0,1,0.7,0.6667,0.79,0.1642,44,351,395,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,8
9743,2012-02-15,22,1,0,1,0.34,0.3485,0.49,0.1045,3,104,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
8727,2012-01-04,11,1,0,1,0.08,0.1212,0.42,0.0896,6,40,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1503,2011-03-08,0,0,0,1,0.26,0.2879,0.48,0.0896,1,9,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
4023,2011-06-21,13,0,0,1,0.74,0.6970000000000001,0.66,0.1642,49,158,207,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6
6671,2011-10-10,13,0,1,0,0.72,0.6515,0.37,0.0,146,219,365,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10
4106,2011-06-25,0,0,0,0,0.68,0.6364,0.47,0.1642,19,97,116,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6
1263,2011-02-25,19,0,0,1,0.3,0.2727,0.52,0.4478,4,86,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
11806,2012-05-12,3,1,0,0,0.48,0.4697,0.59,0.0,14,20,34,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5
14593,2012-09-05,6,1,0,1,0.7,0.6667,0.79,0.2836,7,203,210,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9
128,2011-01-06,14,0,0,1,0.28,0.2727,0.36,0.1642,11,59,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
12297,2012-06-01,14,1,0,1,0.72,0.6818,0.66,0.2836,55,199,254,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,6
9200,2012-01-24,6,1,0,1,0.32,0.3182,0.93,0.19399999999999998,1,88,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
3646,2011-06-05,20,0,0,0,0.66,0.6212,0.69,0.19399999999999998,84,195,279,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
11929,2012-05-17,6,1,0,1,0.54,0.5152,0.73,0.3582,10,149,159,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5
5994,2011-09-12,8,0,0,1,0.6,0.5758,0.78,0.0896,26,382,408,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9
10838,2012-04-01,17,1,0,0,0.52,0.5,0.55,0.2836,232,323,555,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
10592,2012-03-22,11,1,0,1,0.52,0.5,0.94,0.0,53,166,219,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3
1924,2011-03-25,23,0,0,1,0.26,0.2424,0.38,0.2836,8,31,39,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3
7309,2011-11-06,4,0,0,0,0.24,0.2879,0.87,0.0,0,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11
14115,2012-08-16,8,1,0,1,0.68,0.6364,0.61,0.19399999999999998,33,649,682,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8
9649,2012-02-12,0,1,0,0,0.1,0.0758,0.68,0.3881,0,21,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
12306,2012-06-01,23,1,0,1,0.6,0.5455,0.88,0.1343,6,67,73,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,6
15095,2012-09-26,4,1,0,1,0.56,0.5303,0.73,0.2537,2,12,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9
15546,2012-10-14,23,1,0,0,0.56,0.5303,0.68,0.2836,27,78,105,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10
1774,2011-03-19,15,0,0,0,0.5,0.4848,0.29,0.4179,170,143,313,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
15149,2012-09-28,10,1,0,1,0.64,0.5909,0.78,0.1343,51,194,245,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,9
16896,2012-12-11,19,1,0,1,0.32,0.303,0.53,0.2239,21,412,433,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,12
187,2011-01-09,2,0,0,0,0.1,0.0606,0.46,0.4627,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5081,2011-08-04,15,0,0,1,0.8,0.7576,0.55,0.2537,50,115,165,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8
13326,2012-07-14,11,1,0,0,0.72,0.6818,0.7,0.1045,143,296,439,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,7
5386,2011-08-17,8,0,0,1,0.7,0.6515,0.54,0.1642,35,452,487,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8
14324,2012-08-25,1,1,0,0,0.68,0.6364,0.69,0.0,15,100,115,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,8
7045,2011-10-26,4,0,0,1,0.42,0.4242,0.71,0.2537,0,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10
7314,2011-11-06,9,0,0,0,0.3,0.3182,0.75,0.0896,36,134,170,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,11
2988,2011-05-09,10,0,0,1,0.56,0.5303,0.52,0.19399999999999998,24,95,119,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5
11282,2012-04-20,7,1,0,1,0.42,0.4242,0.94,0.0,9,350,359,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4
16833,2012-12-09,4,1,0,0,0.4,0.4091,0.94,0.1045,1,11,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,12
5227,2011-08-10,17,0,0,1,0.84,0.7121,0.26,0.2985,71,513,584,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8
14669,2012-09-08,10,1,0,0,0.74,0.6970000000000001,0.7,0.3881,100,322,422,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9
8765,2012-01-06,1,1,0,1,0.22,0.2727,0.75,0.0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4888,2011-07-27,14,0,0,1,0.84,0.7273,0.28,0.2239,20,107,127,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
